iter	Passed	Remaining
727	2312	863
728	2315	860
729	2317	857
730	2320	853
731	2323	850
732	2326	847
733	2329	844
734	2333	841
735	2338	838
736	2341	835
737	2344	832
738	2347	828
739	2349	825
740	2352	822
741	2355	819
742	2358	815
743	2361	812
744	2365	809
745	2368	806
746	2371	803
747	2374	799
748	2377	796
749	2381	793
750	2384	790
751	2387	787
752	2390	784
753	2393	780
754	2396	777
755	2399	774
756	2403	771
757	2406	768
758	2410	765
759	2413	762
760	2416	758
761	2419	755
762	2422	752
763	2425	749
764	2428	746
765	2432	742
766	2435	739
767	2437	736
768	2441	733
769	2444	730
770	2447	726
771	2450	723
772	2453	720
773	2456	717
774	2460	714
775	2463	710
776	2466	707
777	2469	704
778	2472	701
779	2475	698
780	2479	695
781	2482	691
782	2485	688
783	2488	685
784	2491	682
785	2494	679
786	2497	676
787	2500	672
788	2503	669
789	2507	666
790	2511	663
791	2514	660
792	2517	657
793	2520	653
794	2523	650
795	2527	647
796	2530	644
797	2533	641
798	2536	638
799	2540	635
800	2543	631
801	2546	628
802	2549	625
803	2552	622
804	2555	619
805	2558	615
806	2561	612
807	2565	609
808	2568	606
809	2571	603
810	2574	600
811	2577	596
812	2581	593
813	2584	590
814	2587	587
815	2590	584
816	2593	580
817	2596	577
818	2599	574
819	2602	571
820	2605	568
821	2608	564
822	2611	561
823	2615	558
824	2618	555
825	2621	552
826	2624	549
827	2627	545
828	2631	542
829	2634	539
830	2637	536
831	2639	533
832	2643	529
833	2645	526
834	2648	523
835	2651	520
836	2654	516
837	2657	513
838	2660	510
839	2663	507
840	2666	504
841	2670	501
842	2673	497
843	2676	494
844	2678	491
845	2681	488
846	2684	484
847	2687	481
848	2689	478
849	2692	475
850	2695	471
851	2698	468
852	2701	465
853	2704	462
854	2707	459
855	2710	455
856	2713	452
857	2717	449
858	2720	446
859	2723	443
860	2727	440
861	2730	437
862	2733	433
863	2737	430
864	2740	427
865	2743	424
866	2746	421
867	2749	418
868	2752	414
869	2755	411
870	2758	408
871	2761	405
872	2764	402
873	2767	398
874	2770	395
875	2774	392
876	2776	389
877	2779	386
878	2782	383
879	2785	379
880	2787	376
881	2790	373
882	2793	370
883	2796	366
884	2798	363
885	2801	360
886	2804	357
887	2807	354
888	2811	351
889	2813	347
890	2817	344
891	2821	341
892	2823	338
893	2825	335
894	2828	331
895	2832	328
896	2835	325
897	2838	322
898	2843	319
899	2845	316
900	2847	312
901	2850	309
902	2853	306
903	2856	303
904	2859	300
905	2862	297
906	2866	293
907	2869	290
908	2872	287
909	2875	284
910	2878	281
911	2881	278
912	2884	274
913	2887	271
914	2890	268
915	2893	265
916	2896	262
917	2899	258
918	2901	255
919	2904	252
920	2908	249
921	2911	246
922	2914	243
923	2917	239
924	2920	236
925	2924	233
926	2927	230
927	2930	227
928	2933	224
929	2937	221
930	2939	217
931	2942	214
932	2945	211
933	2948	208
934	2950	205
935	2953	201
936	2956	198
937	2959	195
938	2962	192
939	2965	189
940	2968	186
941	2971	182
942	2974	179
943	2977	176
944	2980	173
945	2983	170
946	2986	167
947	2990	164
948	2993	160
949	2996	157
950	2999	154
951	3002	151
952	3005	148
953	3008	145
954	3011	141
955	3014	138
956	3017	135
957	3020	132
958	3023	129
959	3026	126
960	3028	122
961	3031	119
962	3034	116
963	3037	113
964	3040	110
965	3044	107
966	3046	103
967	3050	100
968	3053	97
969	3056	94
970	3060	91
971	3064	88
972	3067	85
973	3070	81
974	3073	78
975	3076	75
976	3079	72
977	3082	69
978	3085	66
979	3088	63
980	3091	59
981	3094	56
982	3098	53
983	3101	50
984	3104	47
985	3107	44
986	3109	40
987	3113	37
988	3116	34
989	3119	31
990	3122	28
991	3125	25
992	3128	22
993	3132	18
994	3136	15
995	3139	12
996	3142	9
997	3145	6
998	3148	3
999	3151	0
